1,BCP Program
2,Capability
3,Capacity Datacomm
4,Capacity Transport
5,Configuration
6,Configuration Datacomm
7,Control
8,Data Potensi
9,External Interference
10,Improve Availability
11,IT Security Issue
12,Late Payment
13,Monitoring Power System
14,Obsolete Module
15,Obsolete Module & Modernize Battery
16,Power Expenses
17,Prepaid Expenses
18,Quality Datacomm
19,Quality Transport
20,Renewal Site
21,Repair & Maintenance
22,Repeated & Long Aging Alarm
23,Respond
24,RKAP by Priority
25,Sense of Belonging
26,Short Back Up Battery Time
27,Telkom Operation
28,"Tower, Power and Space Rental"
29,Transmission Charge
30,Transport Modernization
31,Un Automation
32,Unbalance Recti Load
33,Unproper Configuration
34,Unstock Module/Consumable
35,Vandalism
36,Varcost Absorption
